noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable,Cluster
ATM,-0.64351776,0.0,0.9482483,0.86181074,0.0,0.79740581,0.31796268,0.0,0.0,-0.93357527,-2.63537002,0
CD,0.33299556,0.30727804,0.93783385,0.84277609,0.0,0.67105693,0.43351448,0.0,0.0,-0.92030704,-1.93915677,0
SUV,0.03804305,0.35695729,0.96334776,0.84923092,0.0,0.37648484,0.40568724,0.0,0.0,-0.97705632,-1.93660867,0
TV,-0.18083754,0.0,0.86448917,0.8147459,0.0,0.25053191,0.46232158,0.0,0.0,-0.89982766,-1.67309844,0
aardvark,1.44201812,0.94830495,0.87517771,0.92794517,0.0,0.85364288,0.62247178,0.0,0.0,-0.94774216,-1.8377822,0
abacus,2.40591776,0.0,0.91141099,0.9549616,0.0,0.8293249,0.58594871,0.0,0.0,-0.87572843,0.0,0
abbey,0.47936332,0.80086538,0.85250688,0.94645512,0.0,0.28987756,0.3205502,0.0,0.0,-0.96235287,-1.76853895,0
abbreviation,2.95429716,0.31336495,0.95301282,0.96521774,0.0,0.87380379,0.40772966,0.0,0.0,-0.55883181,0.0,0
abdomen,-1.49619117,0.0,0.87684405,0.94045117,0.0,0.0,0.32031798,0.0,0.0,-0.96690285,-2.66690153,0
ability,0.34508774,0.0,0.8959353,0.94469246,0.0,0.93120417,0.44051114,0.0,0.0,-0.93965048,-1.92760485,0
abnormality,2.49274406,0.26844218,0.92166972,0.9529635,0.0,0.82857361,0.36942858,0.0,0.0,-0.84833354,0.0,0
abolishment,1.6834918,0.0,0.84445202,0.77621073,0.0,0.94551179,0.0,0.0,0.0,-0.88268274,0.0,0
abortion,1.07730353,0.0,0.90850088,0.9358758,0.0,0.90041089,0.0,0.0,0.0,-0.95103061,-0.71645343,0
abrogation,2.19431418,0.0,0.90381503,0.94081041,0.0,0.95856613,0.31255946,0.0,0.0,-0.92143685,0.0,0
absence,-0.05602074,0.0,0.78770435,0.94622374,0.0,0.81334496,0.0,0.0,0.0,-0.68612015,-1.91717362,0
abundance,0.11175188,0.0,0.79149377,0.95542666,0.0,0.78969342,0.46289551,0.0,0.0,-0.96317536,-1.92458212,0
abuse,1.47608107,0.25886273,0.77931392,0.90457073,0.0,0.95304587,0.46346039,0.0,0.0,-0.90706974,-0.97610283,0
academics,-2.55684161,0.48800653,0.0,0.0,0.0,0.82442209,0.4588013,-0.94574457,-0.54307079,-0.93797398,-1.90128219,2
academy,2.03408664,0.93114394,0.89322916,0.90305948,0.0,0.91899779,0.28130245,0.0,0.0,-0.93882525,-0.95482093,0
accelerant,0.81749481,0.39730948,0.92118493,0.95785064,0.0,0.92966905,0.47311866,0.0,0.0,-0.98738736,-1.87425059,0
accelerator,0.08368769,0.79992005,0.93981138,0.94285706,0.0,0.70597517,0.0,0.0,0.0,-0.98411942,-2.32075655,0
accent,0.59805253,0.0,0.93633002,0.95361772,0.0,0.78970906,0.36694357,0.0,0.0,-0.96134037,-1.48720747,0
