noun,Eventive_1,Eventive_2,Pluralia Tantum_1,Pluralia Tantum_2,Animate/Inanimate_1,Animate/Inanimate_2,Animate/Inanimate_3,Collective_1,Collective_2,Common_1,Common_2,Count_1,Count_2,Mass_1,Mass_2,total_score
ATM,0.66,0.94,0.68,0.96,0.52,-0.92,-0.88,-0.67,-0.93,0.97,0.92,0.95,0.78,0.64,-0.71,0.31
CD,0.83,0.51,0.89,0.97,0.50,-0.96,-0.96,0.61,-0.95,0.98,0.90,0.89,0.79,0.87,-0.79,0.40
SUV,0.75,-0.86,0.87,0.96,-0.89,-0.57,-0.94,0.71,-0.90,0.98,0.95,0.92,0.78,0.81,-0.67,0.27
TV,0.50,-0.64,-0.52,0.93,-0.78,-0.95,-0.97,-0.68,-0.95,0.98,0.75,0.93,0.70,0.92,-0.91,0.02
aardvark,0.79,0.92,0.73,0.96,0.81,0.86,0.85,0.96,0.94,0.96,0.79,0.90,0.95,0.69,0.56,0.84
abacus,0.88,0.78,0.89,0.96,0.60,-0.85,-0.72,-0.51,-0.94,0.96,0.87,0.94,0.97,0.53,0.64,0.45
abbey,0.58,-0.55,0.79,0.93,-0.90,-0.70,0.83,0.87,0.74,0.92,0.78,0.93,0.97,-0.56,0.64,0.46
abbreviation,0.78,0.97,0.80,0.96,0.83,-0.95,-0.96,0.63,-0.82,0.97,0.93,0.96,0.97,0.82,-0.69,0.47
abdomen,-0.63,-0.85,-0.62,0.86,-0.61,-0.90,-0.90,-0.51,-0.84,0.92,0.84,0.96,0.92,0.64,-0.86,-0.06
ability,0.88,0.98,-0.53,0.95,-0.92,-0.96,-0.96,-0.76,-0.87,0.98,0.81,0.92,0.97,0.88,-0.89,0.17
abnormality,0.68,0.98,0.86,0.96,0.53,-0.95,-0.95,0.54,-0.86,0.95,0.89,0.94,0.97,0.74,-0.82,0.42
abolishment,0.91,0.98,-0.56,0.91,-0.92,-0.96,-0.96,-0.63,-0.91,0.97,0.72,0.90,0.66,-0.50,-0.72,0.06
abortion,0.82,0.98,0.86,0.95,-0.93,-0.97,-0.96,-0.71,-0.89,0.95,0.87,0.91,0.96,-0.51,-0.94,0.17
abrogation,0.94,0.98,0.74,0.96,-0.57,-0.96,-0.96,-0.52,-0.85,0.97,0.84,0.92,0.96,0.63,-0.74,0.30
