noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable,Collective_0,Collective_1,Common_0,Common_1,Count_0,Count_1,Derived_0,Eventive_0,Eventive_1,Mass_0,Mass_1,Pluralia Tantum_0,Pluralia Tantum_1,Singularia Tantum_0,Singularia Tantum_1,Usually Verb_0,Verbalizable_0,Verbalizable_1,Verbalizable_2
ATM,-0.41325092,0.00000000,0.84378278,0.86181074,0.00000000,0.79740581,0.31796268,0.00000000,0.00000000,-0.59884292,-2.63537002,0.00000000,0.00000000,0.76581919,0.92174637,0.94651920,0.77710229,0.00000000,0.65946716,0.93534446,0.63592535,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59884292,-0.69800019,-0.97067708,-0.96669275
CD,0.63857716,0.30727804,0.93238214,0.84277609,0.00000000,0.67105693,0.43351448,0.00000000,0.00000000,-0.60927373,-1.93915677,0.61455607,0.00000000,0.96913493,0.89562935,0.89406443,0.79148775,0.00000000,0.83114123,0.51097262,0.86702895,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.60927373,0.00000000,-0.97334814,-0.96580863
SUV,0.42289117,0.35695729,0.94698700,0.84923092,0.00000000,0.37648484,0.40568724,0.00000000,0.00000000,-0.57584745,-1.93660867,0.71391457,0.00000000,0.94801271,0.94596130,0.91669911,0.78176272,0.00000000,0.75296968,0.00000000,0.81137449,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57584745,0.00000000,-0.96938020,-0.96722847
TV,0.03948537,0.00000000,0.75998071,0.81474590,0.00000000,0.25053191,0.46232158,0.00000000,0.00000000,-0.57499629,-1.67309844,0.00000000,0.00000000,0.76865196,0.75130945,0.93108320,0.69840860,0.00000000,0.50106382,0.00000000,0.92464316,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57499629,0.00000000,-0.70502716,-0.96807128
aardvark,1.79700139,0.94830495,0.85970017,0.92794517,0.00000000,0.85364288,0.62247178,0.00000000,0.00000000,-0.57728136,-1.83778220,0.95655060,0.94005930,0.92653930,0.79286104,0.90131080,0.95457953,0.00000000,0.78877842,0.91850734,0.68814957,0.55679399,0.00000000,0.00000000,0.00000000,0.00000000,-0.57728136,-0.86739886,-0.97038335,0.00000000
abacus,2.67256308,0.00000000,0.88759488,0.95496160,0.00000000,0.82932490,0.58594871,0.00000000,0.00000000,-0.58526701,0.00000000,0.00000000,0.00000000,0.90904981,0.86613995,0.94396019,0.96596301,0.00000000,0.87628692,0.78236288,0.52725142,0.64464599,0.00000000,0.00000000,0.00000000,0.00000000,-0.58526701,0.00000000,0.00000000,0.00000000
abbey,0.77224076,0.80086538,0.77557737,0.94645512,0.00000000,0.28987756,0.32055020,0.00000000,0.00000000,-0.59254593,-1.76853895,0.86586821,0.73586255,0.76686996,0.78428477,0.92740887,0.96550137,0.00000000,0.57975513,0.00000000,0.00000000,0.64110041,0.00000000,0.00000000,0.00000000,0.00000000,-0.59254593,-0.81726795,-0.95127100,0.00000000
abbreviation,2.86701900,0.31336495,0.90212891,0.96521774,0.00000000,0.87380379,0.40772966,0.00000000,0.00000000,-0.59522605,0.00000000,0.62672991,0.00000000,0.87282169,0.93143612,0.96115476,0.96928072,0.00000000,0.78081709,0.96679050,0.81545931,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59522605,0.00000000,0.00000000,0.00000000
abdomen,-1.30602208,0.00000000,0.70255256,0.94045117,0.00000000,0.00000000,0.32031798,0.00000000,0.00000000,-0.60244226,-2.66690153,0.00000000,0.00000000,0.56666398,0.83844113,0.95896208,0.92194027,0.00000000,0.00000000,0.00000000,0.64063597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.60244226,-0.73818946,-0.96339667,-0.96531540
ability,0.53481272,0.00000000,0.72734314,0.94469246,0.00000000,0.93120417,0.44051114,0.00000000,0.00000000,-0.58133334,-1.92760485,0.00000000,0.00000000,0.64587748,0.80880880,0.92057741,0.96880752,0.00000000,0.88458771,0.97782063,0.88102227,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.58133334,0.00000000,-0.96164930,-0.96595556
