noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable
subexpression,3.72340932,0.45911285,0.93401989,0.94990733,0.00000000,0.95219982,0.42816943,0.00000000,0.00000000,0.00000000,0.00000000
macrofauna,3.62672719,0.95504293,0.81102771,0.95626789,0.00000000,0.91488606,0.89961535,0.00000000,0.00000000,-0.91011274,0.00000000
cria,3.60855100,0.94803765,0.86404046,0.95816922,0.00000000,0.92495263,0.88364431,0.00000000,0.00000000,-0.97029328,0.00000000
anime,3.52322948,0.88527396,0.86546773,0.94608903,0.00000000,0.94322687,0.80096993,0.00000000,0.00000000,0.00000000,-0.91779804
kohlrabi,3.38493457,0.90762073,0.80223510,0.89388505,0.00000000,0.94531545,0.81549078,0.00000000,0.00000000,-0.97961253,0.00000000
leptocephalus,3.31010807,0.94836435,0.66632658,0.96273521,0.00000000,0.89473701,0.66857225,0.00000000,0.00000000,-0.83062732,0.00000000
symbol,3.25352976,0.27939472,0.94414681,0.93513185,0.00000000,0.68818668,0.40666971,0.00000000,0.00000000,0.00000000,0.00000000
illiteracy,3.19502905,0.37362033,0.79772916,0.89574862,0.00000000,0.78907877,0.33885217,0.00000000,0.00000000,0.00000000,0.00000000
pantology,3.18826017,0.79128537,0.88617182,0.95149764,0.00000000,0.91845703,0.45821080,0.00000000,0.00000000,-0.81736249,0.00000000
cicada,3.16318461,0.92668441,0.85929188,0.89368856,0.00000000,0.79472771,0.63894379,0.00000000,0.00000000,-0.95015174,0.00000000
wasabi,3.14649126,0.89945778,0.84240130,0.69682518,0.00000000,0.95346719,0.71664757,0.00000000,0.00000000,-0.96230775,0.00000000
nucleotide,3.14321956,0.42958999,0.94434795,0.96709490,0.60239279,0.92566180,0.48019785,0.00000000,0.00000000,0.00000000,-1.20606571
originality,3.12049708,0.37229967,0.86281222,0.94692281,0.61150610,0.79164314,0.46981931,0.00000000,0.00000000,-0.93450618,0.00000000
pharmacopoeia,3.11987826,0.94556761,0.82320547,0.95659485,0.00000000,0.95795530,0.86581373,0.00000000,0.00000000,-0.90932781,-0.51993090
pheasant,3.10762447,0.76788154,0.84024429,0.94216835,0.00000000,0.74197081,0.72628117,0.00000000,0.00000000,-0.91092169,0.00000000
fishery,3.09797895,0.84386843,0.93359259,0.94997090,0.00000000,0.93445346,0.41750139,0.00000000,0.00000000,-0.98140782,0.00000000
wren,3.09172577,0.95376754,0.70915222,0.94659591,0.00000000,0.78345442,0.67377430,0.00000000,0.00000000,-0.97501862,0.00000000
subroutine,3.06582418,0.46391529,0.88873649,0.95734814,0.00000000,0.95176473,0.40506712,0.00000000,0.00000000,-0.60100758,0.00000000
instrumentation,3.06314874,0.28531799,0.92027104,0.93940642,0.00000000,0.96975347,0.48468629,0.00000000,0.00000000,-0.53628647,0.00000000
ephemera,3.04770261,0.28995961,0.82446703,0.94015539,0.00000000,0.90703523,0.78434518,0.00000000,0.00000000,-0.69825983,0.00000000
libido,3.04010031,0.76646817,0.93507153,0.95183963,0.00000000,0.90458974,0.42983609,0.00000000,0.00000000,-0.94770485,0.00000000
misnomer,3.02747902,0.25131312,0.87364230,0.85963860,0.52848989,0.87812322,0.31851310,0.00000000,0.00000000,-0.68224120,0.00000000
filth,2.98369017,0.61565599,0.81779024,0.92643687,0.00000000,0.91919118,0.47672832,0.00000000,0.00000000,-0.77211243,0.00000000
chemotaxis,2.97067735,0.78123057,0.83416989,0.91710925,0.00000000,0.95610112,0.35328835,0.00000000,0.00000000,-0.87122184,0.00000000
mycoplasma,2.95949778,0.78053656,0.77486190,0.94186768,0.00000000,0.89506897,0.45226803,0.00000000,0.00000000,-0.88510537,0.00000000
abbreviation,2.95429716,0.31336495,0.95301282,0.96521774,0.00000000,0.87380379,0.40772966,0.00000000,0.00000000,-0.55883181,0.00000000
enigma,2.93968010,0.34481823,0.90805745,0.95826039,0.00000000,0.88706136,0.47406122,0.00000000,0.00000000,-0.63257855,0.00000000
paramecium,2.93184736,0.77782565,0.83606684,0.93542019,0.00000000,0.87036583,0.46204272,0.00000000,0.00000000,-0.94987386,0.00000000
chrysalis,2.91590267,0.86131343,0.76296562,0.93217441,0.00000000,0.88640523,0.40822166,0.00000000,0.00000000,-0.93517768,0.00000000
calcification,2.89458257,0.37881765,0.86615688,0.94839850,0.00000000,0.95878661,0.46289408,0.00000000,0.00000000,-0.72047114,0.00000000
herring,2.88438180,0.29159915,0.80638921,0.93556631,0.00000000,0.93030378,0.87436765,0.00000000,0.00000000,-0.95384431,0.00000000
guava,2.88012719,0.62758204,0.86692625,0.92007947,0.00000000,0.94677606,0.47917533,0.00000000,0.00000000,-0.96041197,0.00000000
septicaemia,2.87974370,0.95637631,0.75779215,0.94726670,0.00000000,0.91906789,0.00000000,0.00000000,0.00000000,-0.70075935,0.00000000
eponym,2.87553516,0.38901946,0.94478962,0.95877746,0.00000000,0.85772905,0.39060274,0.00000000,0.00000000,0.00000000,-0.66538316
zucchini,2.85558668,0.59188637,0.62636110,0.94136292,0.00000000,0.78203419,0.85791218,0.00000000,0.00000000,-0.94397008,0.00000000
rhinoceros,2.83333296,0.92928839,0.65320426,0.94918576,0.00000000,0.73637080,0.44956139,0.00000000,0.00000000,-0.88427764,0.00000000
philanthropy,2.82794884,0.71350905,0.79069328,0.95238671,0.00000000,0.90965119,0.44555843,0.00000000,0.00000000,-0.98384982,0.00000000
specification,2.81987795,0.45183730,0.94060260,0.94742075,0.00000000,0.93802214,0.43121654,0.00000000,0.00000000,-0.88922137,0.00000000
shipping,2.81858554,0.63670298,0.86494488,0.85281682,0.00000000,0.95118591,0.48479226,0.00000000,0.00000000,-0.97185731,0.00000000
tonality,2.81819701,0.39169729,0.90598729,0.96461588,0.00000000,0.93230149,0.47544175,0.00000000,0.00000000,-0.85184669,0.00000000
synonym,2.81407794,0.45389804,0.94363403,0.95860860,0.00000000,0.89338201,0.39218685,0.00000000,0.00000000,-0.82763159,0.00000000
wisteria,2.81154916,0.87928236,0.77074331,0.94345263,0.00000000,0.89674896,0.81263506,0.00000000,0.00000000,-0.94565088,-0.54566228
pseudoscience,2.80939454,0.44193298,0.91346037,0.96502581,0.00000000,0.95097008,0.31564808,0.00000000,0.00000000,-0.77764279,0.00000000
macaroni,2.80636311,0.45314139,0.76879355,0.86171374,0.00000000,0.89022309,0.78244030,0.00000000,0.00000000,-0.94994897,0.00000000
anesthesiology,2.80126101,0.80591011,0.77272022,0.94639340,0.00000000,0.93322411,0.31794733,0.00000000,0.00000000,-0.97493416,0.00000000
silence,2.78729999,0.00000000,0.86587951,0.93930218,0.61527747,0.86284620,0.47669107,0.00000000,0.00000000,0.00000000,-0.97269642
zoology,2.78658259,0.43291992,0.82504201,0.95619982,0.00000000,0.92725834,0.47211275,0.00000000,0.00000000,-0.82695025,0.00000000
bibliography,2.77066135,0.41948956,0.94403872,0.92203453,0.00000000,0.91321948,0.46764836,0.00000000,0.00000000,-0.89576930,0.00000000
insectarium,2.75482735,0.47361407,0.94721982,0.93058798,0.00000000,0.93858030,0.32982281,0.00000000,0.00000000,-0.86499763,0.00000000
object,2.74902880,0.39346844,0.86890960,0.89056852,0.66228133,0.28193083,0.48146129,0.00000000,0.00000000,0.00000000,-0.82959121
minimalism,2.74854934,0.41415846,0.89563763,0.95030048,0.00000000,0.90729073,0.46274388,0.00000000,0.00000000,-0.88158184,0.00000000
impudence,2.74334544,0.37492087,0.88524285,0.92930660,0.00000000,0.88129014,0.45216116,0.00000000,0.00000000,-0.77957618,0.00000000
vernacular,2.74093109,0.32943520,0.91226202,0.95110860,0.00000000,0.93032587,0.46708858,0.00000000,0.00000000,-0.84928918,0.00000000
asymmetry,2.73990354,0.27123663,0.89612919,0.96689090,0.00000000,0.93366927,0.45257583,0.00000000,0.00000000,-0.78059828,0.00000000
lacquerware,2.72848839,0.32925782,0.88523415,0.84058064,0.00000000,0.85853359,0.78501502,0.00000000,0.00000000,-0.97013283,0.00000000
carnation,2.72666943,0.32982239,0.89308673,0.91199759,0.00000000,0.94385260,0.42749733,0.00000000,0.00000000,-0.77958721,0.00000000
trigonometry,2.72542664,0.42609045,0.84465036,0.96170393,0.00000000,0.93182188,0.46913093,0.00000000,0.00000000,-0.90797091,0.00000000
archaeology,2.72131267,0.29590800,0.82904965,0.95989525,0.00000000,0.96290725,0.47867805,0.00000000,0.00000000,-0.80512553,0.00000000
miscommunication,2.71769959,0.29148090,0.90911949,0.93895626,0.00000000,0.96122813,0.45247388,0.00000000,0.00000000,-0.83555907,0.00000000
cauliflower,2.71759313,0.56772390,0.86940038,0.93654108,0.00000000,0.80737519,0.49054495,0.00000000,0.00000000,-0.95399237,0.00000000
pathogenesis,2.71753639,0.44744396,0.87677145,0.96375009,0.00000000,0.93291491,0.43391886,0.00000000,0.00000000,-0.93726289,0.00000000
convection,2.71583778,0.43716022,0.86759833,0.96103939,0.00000000,0.96628627,0.47097933,0.00000000,0.00000000,-0.98722577,0.00000000
cartilage,2.71446949,0.62714764,0.88691342,0.93412483,0.00000000,0.69772997,0.48329669,0.00000000,0.00000000,-0.91474307,0.00000000
unibody,2.71126196,0.47905985,0.90615499,0.94935569,0.64757389,0.88261837,0.29237559,0.00000000,0.00000000,-0.64706314,-0.79881328
