noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable
ATM,-0.41325092,0.00000000,0.84378278,0.86181074,0.00000000,0.79740581,0.31796268,0.00000000,0.00000000,-0.59884292,-2.63537002
CD,0.63857716,0.30727804,0.93238214,0.84277609,0.00000000,0.67105693,0.43351448,0.00000000,0.00000000,-0.60927373,-1.93915677
SUV,0.42289117,0.35695729,0.94698700,0.84923092,0.00000000,0.37648484,0.40568724,0.00000000,0.00000000,-0.57584745,-1.93660867
TV,0.03948537,0.00000000,0.75998071,0.81474590,0.00000000,0.25053191,0.46232158,0.00000000,0.00000000,-0.57499629,-1.67309844
aardvark,1.79700139,0.94830495,0.85970017,0.92794517,0.00000000,0.85364288,0.62247178,0.00000000,0.00000000,-0.57728136,-1.83778220
abacus,2.67256308,0.00000000,0.88759488,0.95496160,0.00000000,0.82932490,0.58594871,0.00000000,0.00000000,-0.58526701,0.00000000
abbey,0.77224076,0.80086538,0.77557737,0.94645512,0.00000000,0.28987756,0.32055020,0.00000000,0.00000000,-0.59254593,-1.76853895
abbreviation,2.86701900,0.31336495,0.90212891,0.96521774,0.00000000,0.87380379,0.40772966,0.00000000,0.00000000,-0.59522605,0.00000000
abdomen,-1.30602208,0.00000000,0.70255256,0.94045117,0.00000000,0.00000000,0.32031798,0.00000000,0.00000000,-0.60244226,-2.66690153
ability,0.53481272,0.00000000,0.72734314,0.94469246,0.00000000,0.93120417,0.44051114,0.00000000,0.00000000,-0.58133334,-1.92760485
abnormality,2.55337498,0.26844218,0.79118139,0.95296350,0.00000000,0.82857361,0.36942858,0.00000000,0.00000000,-0.65721428,0.00000000
abolishment,2.02391425,0.00000000,0.36080736,0.77621073,0.52066499,0.94551179,0.00000000,0.00000000,0.00000000,-0.57928061,0.00000000
abortion,1.31181762,0.00000000,0.78538221,0.93587580,0.00000000,0.90041089,0.00000000,0.00000000,0.00000000,-0.59339786,-0.71645343
abrogation,2.38578212,0.00000000,0.77874804,0.94081041,0.00000000,0.95856613,0.31255946,0.00000000,0.00000000,-0.60490191,0.00000000
absence,0.57292452,0.00000000,0.62972680,0.94622374,0.69458777,0.81334496,0.00000000,0.00000000,0.00000000,-0.59378511,-1.91717362
abundance,0.01446888,0.00000000,0.32932347,0.95542666,0.00000000,0.78969342,0.46289551,0.00000000,0.00000000,-0.59828806,-1.92458212
abuse,1.32910293,0.25886273,0.31664568,0.90457073,0.00000000,0.95304587,0.46346039,0.00000000,0.00000000,-0.59137964,-0.97610283
academics,-1.94315639,0.48800653,0.00000000,0.00000000,0.00000000,0.82442209,0.45880130,-0.89866358,-0.28871867,-0.62572187,-1.90128219
academy,2.34935686,0.93114394,0.84767038,0.90305948,0.00000000,0.91899779,0.28130245,0.00000000,0.00000000,-0.57799625,-0.95482093
accelerant,1.15247235,0.39730948,0.89787275,0.95785064,0.00000000,0.92966905,0.47311866,0.00000000,0.00000000,-0.62909764,-1.87425059
